F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0       1       0  0  80   0 -  6632 -      ?        00:02:24 systemd
1 S     0       2       0  0  80   0 -     0 -      ?        00:00:00 kthreadd
1 S     0       3       2  0  80   0 -     0 -      ?        00:00:00 pool_workqueue_release
1 I     0       4       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-rcu_g
1 I     0       5       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-rcu_p
1 I     0       6       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-slub_
1 I     0       7       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-netns
1 I     0       9       2  0  60 -20 -     0 -      ?        00:00:00 kworker/0:0H-events_highpri
1 I     0      12       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-mm_pe
1 I     0      13       2  0  80   0 -     0 -      ?        00:00:00 rcu_tasks_kthread
1 I     0      14       2  0  80   0 -     0 -      ?        00:00:00 rcu_tasks_rude_kthread
1 I     0      15       2  0  80   0 -     0 -      ?        00:00:00 rcu_tasks_trace_kthread
1 S     0      16       2  0  80   0 -     0 -      ?        00:00:05 ksoftirqd/0
1 I     0      17       2  0  80   0 -     0 -      ?        00:01:43 rcu_preempt
1 S     0      18       2  0 -40   - -     0 -      ?        00:00:01 migration/0
1 S     0      19       2  0   9   - -     0 -      ?        00:00:00 idle_inject/0
1 S     0      20       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/0
5 S     0      21       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/1
1 S     0      22       2  0   9   - -     0 -      ?        00:00:00 idle_inject/1
1 S     0      23       2  0 -40   - -     0 -      ?        00:00:02 migration/1
1 S     0      24       2  0  80   0 -     0 -      ?        00:00:02 ksoftirqd/1
1 I     0      26       2  0  60 -20 -     0 -      ?        00:00:00 kworker/1:0H-events_highpri
5 S     0      27       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/2
1 S     0      28       2  0   9   - -     0 -      ?        00:00:00 idle_inject/2
1 S     0      29       2  0 -40   - -     0 -      ?        00:00:02 migration/2
